8736;PL346004 ;Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 3460, de 2004, do Sr. Walter Feldman, que "institui diretrizes para a Política Nacional de Planejamento Regional Urbano, cria o Sistema Nacional de Planejamento e Informações Regionais Urbanas e dá outras providências" (Estatuto da Metrópole)
8805;PL355504 ;Comissão Especial destinada a analisar e proferir parecer ao Projeto de Lei nº 3555-A, de 2004, do Sr. José Eduardo Cardozo, que "estabelece normas gerais em contratos de seguro privado e revoga dispositivos do Código Civil, do Código Comercial Brasileiro e do Decreto-Lei nº 73 de 1966" (revoga dispositivos das Leis nºs 556, de 1850 e 10.406, de 2002)
2008;CDEIC ;Comissão de Desenvolvimento Econômico, Indústria e Comércio
8825;PEC25008 ;Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 250-A, de 2008, do Sr. Pedro Chaves, que "acresce artigo ao Ato das Disposições Constitucionais Transitórias" (integra aos quadros efetivos de pessoal os empregados de empresa estatal em fase de liquidação ou processo de extinção, que se encontram agregados ao serviço público e que possuam mais de 20 (vinte) anos de exercício. Altera a Constituição Federal de 1988)
8689;PL368008 ;Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 3680, de 2008, do Sr. Pedro Eugênio, que "dispõe sobre o ordenamento do cultivo de cana-de-açúcar e dá outras providências"
2006;CDU ;Comissão de Desenvolvimento Urbano
8917;CEANISTI ;Comissão Especial destinada a acompanhar a aplicação das seguintes Leis de Anistia: Lei nº 8878/1994, que "dispõe sobre a concessão de anistia"; Lei nº 10.790/2003, que "concede anistia a dirigentes ou representantes sindicais e trabalhadores punidos por participação em movimento reivindicatório"; Lei nº 11.282/2006, que "anistia os trabalhadores da Empresa Brasileira de Correios e Telégrafos-ECT punidos em razão da participação em movimento grevista"; e Lei nº 10.559/2002, que "regulamenta o artigo 8º do Ato das Disposições Constitucionais Transitórias e dá outras providências"
537046;PEC56506 ;Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 565-A, de 2006, do Senado Federal, que "altera os arts. 57, 165, 166, e acrescenta art. 165-A, todos da Constituição Federal, tornando de execução obrigatória a programação constante da lei orçamentária anual"
8530;PL722306 ;Comissão Especial destinada a profetir parecer ao Projeto de Lei nº 7.223, de 2006, do Senado Federal, que "altera a Lei nº 7.210, de 11 de julho de 1984, Lei de Execução Penal, e a Lei nº 10.792, de 1º de dezembro de 2003, para criar o regime penitenciário de segurança máxima"
8526;PL742006 ;Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 7420, de 2006, da Sra. Professora Raquel Teixeira, que "dispõe sobre a qualidade da educação básica e a responsabilidade dos gestores públicos na sua promoção"
8865;PL749506 ;Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 7495, de 2006, do Senado Federal, que "regulamenta os §§ 4º e 5º do art. 198 da Constituição, dispõe sobre o aproveitamento de pessoal amparado pelo parágrafo único do art. 2º da Emenda Constitucional nº 51, de 14 de fevereiro de 2006, e dá outras providências" (cria 5.365 empregos públicos de Agente de Combate às Endemias, no âmbito do Quadro Suplementar de Combate às Endemias da FUNASA)
9123;PL766310 ;Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 7663, de 2010, do Sr. Osmar Terra, que "acrescenta e altera dispositivos à Lei nº 11.343, de 23 de agosto de 2006, para tratar do Sistema Nacional de Políticas sobre Drogas , dispor sobre a obrigatoriedade da classificação das drogas, introduzir circunstâncias qualificadoras dos crimes previstos nos arts. 33 a 37, definir as condições de atenção aos usuários ou dependentes de drogas e dá outras providências"
536999;PLP23712 ;Comissão Especial destinada a proferir parecer ao Projeto de Lei Complementar nº 237, de 2012, do Sr. Pedro Eugênio, que "altera a Lei Complementar nº 123, de 14 de dezembro de 2006" (altera o Estatuto Nacional da Microempresa e da Empresa de Pequeno Porte; a Lei nº 5.889, de 1973; a Lei nº 8.212, de 1991; Lei nº 8.213, de 1991; Lei nº 11.101, de 2005)
536968;CECODFL ;Comissão Especial destinada a acompanhar a implantação nos Estados da Lei 12.651/2012 que institui o novo Código Florestal Brasileiro
536982;CEMOTOR ;Comissão Especial destinada a debater e propor modificações à Lei 12.619, de 30 de abril de 2012, que regulamenta a Profissão de Motorista
2012;CME ;Comissão de Minas e Energia
536938;MSC24512 ;Comissão Especial destinada a proferir Parecer à Mensagem nº 245, de 2012, do Poder Executivo, que "submete à consideração do Congresso Nacional o texto do Protocolo de Nagoia sobre Acesso a Recursos Genéticos e Repartição Justa e Equitativa dos Benefícios Derivados de sua Utilização à Convenção sobre Diversidade Biológica (CDB), concluído durante a 10ª Reunião da Conferência das Partes na Convenção, realizada em outubro de 2010 (COP-10), e assinado pelo Brasil no dia 2 de fevereiro de 2011, em Nova Iorque"
537141;PEC14012 ;Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 140-A, de 2012, do Sr. Assis Carvalho e outros, que "altera o inciso III do art. 155 da Constituição Federal para determinar que seja o imposto incidente sobre veículos automotores terrestres, aéreos e aquáticos", e apensada
537098;PEC14712 ;Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 147-A, de 2012, do Sr. Amauri Teixeira, que "fixa parâmetros para a remuneração dos Auditores Fiscais da Receita Federal do Brasil, dos Auditores Fiscais do Trabalho e do grau ou nível máximo da carreira dos servidores do Banco Central do Brasil"
537133;PEC17012 ;Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 170-A, de 2012, da Srª Andreia Zito e outros, que "dá nova redação ao inciso I do § 1º do art. 40 da Constituição Federal" (garante proventos integrais ao servidor que se aposentar por invalidez)
536974;PEC19312 ;Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 193-A de 2012, do Sr. Esperidião Amin, que "altera a Constituição Federal para determinar a instituição, pelo poder público, de programas de recuperação do meio ambiente degradado, quando o fato decorrer de sua ação e omissão"
536962;PEC19612 ;Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 196-A, de 2012, do Senado Federal, que "altera o § 2° do art. 55 da Constituição Federal, para estabelecer que a perda de mandato será decidida por voto aberto nos casos que especifica"
9145;PEC19712 ;Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 197-A, de 2012, do Senado Federal, que "altera o § 2º do art. 155 da Constituição Federal, para modificar a sistemática de cobrança do imposto sobre operações relativas à circulação de mercadorias e sobre prestações de serviços de transporte interestadual e intermunicipal e de comunicação incidente sobre as operações e prestações realizadas de forma não presencial e que destinem bens e serviços a consumidor final localizado em outro Estado"
537159;PEC20412 ;Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 204-A, de 2012, do Sr. João Caldas e outros, que "dá nova redação aos arts. 94, 104, 119 e 120 da Constituição Federal, para alterar a forma de indicação de membros do Ministério Público e advogados às vagas nos Tribunais"
537024;PEC20912 ;Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 209-A, de 2012, da Srª Rose de Freitas, do Sr. Luiz Pitiman e outros, que "insere o § 1º ao art. 105, da Constituição Federal, e renumera o parágrafo único" (para atribuir requisito de admissibilidade ao recurso especial no âmbito do STJ)
537102;PEC21412 ;Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 214-A, de 2012, do Sr. Policarpo, que "altera o art. 199 da Constituição Federal para autorizar a União, os Estados, o Distrito Federal e os Municípios a firmar convênios ou contratos com entidades fechadas de autogestão em saúde destinadas a prestar serviços complementares de assistência à saúde para os seus servidores"
537137;PL421112 ;Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 4211, de 2012, do Sr. Jean Wyllys, que "regulamenta a atividade dos profissionais do sexo"
536999;PLP23712 ;Comissão Especial destinada a proferir parecer ao Projeto de Lei Complementar nº 237, de 2012, do Sr. Pedro Eugênio, que "altera a Lei Complementar nº 123, de 14 de dezembro de 2006" (altera o Estatuto Nacional da Microempresa e da Empresa de Pequeno Porte; a Lei nº 5.889, de 1973; a Lei nº 8.212, de 1991; Lei nº 8.213, de 1991; Lei nº 11.101, de 2005)
537173;CERESOLI ;Comissão Especial destinada a analisar proposições que visam alterar a Lei nº 12.305, de 02/08/2010, que instituiu a Política Nacional de Resíduos Sólidos, e outros projetos de lei correlatos.
2010;CFT ;Comissão de Finanças e Tributação
536938;MSC24512 ;Comissão Especial destinada a proferir Parecer à Mensagem nº 245, de 2012, do Poder Executivo, que "submete à consideração do Congresso Nacional o texto do Protocolo de Nagoia sobre Acesso a Recursos Genéticos e Repartição Justa e Equitativa dos Benefícios Derivados de sua Utilização à Convenção sobre Diversidade Biológica (CDB), concluído durante a 10ª Reunião da Conferência das Partes na Convenção, realizada em outubro de 2010 (COP-10), e assinado pelo Brasil no dia 2 de fevereiro de 2011, em Nova Iorque"
9020;MSC69610 ;Comissão Especial destinada a proferir parecer à Mensagem nº 696, de 2010, do Poder Executivo, que "submete à consideração do Congresso Nacional texto da Convenção Internacional sobre a Proteção dos Direitos de Todos os Trabalhadores Migrantes e dos Membros das suas Famílias, adotada em 18 de dezembro de 1990, em Sessão da Assembléia Geral das Nações Unidas"
8887;PEC46710 ;Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 467-A, de 2010, do Sr. Sérgio Barradas Carneiro, que "revoga o Ato das Disposições Constitucionais Transitórias da Constituição Federal"
536941;PEC46810 ;Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 468-A, de 2010, do Sr. Wilson Picler e Mário Heringer, que "acrescenta inciso ao artigo 60 da Constituição Federal" (permite às Câmaras Municipais o direito de apresentar Proposta de Emenda Constitucional)
9146;PEC46910 ;Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 469-A, de 2010, dos Srs. Mário Heringer e Wilson Picler, que "altera a redação do art. 103 da Constituição Federal, para atribuir às Câmaras Municipais a Legitimação para propor ação direta de inconstitucionalidade junto ao Supremo Tribunal Federal"
9013;PEC47910 ;Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 479-A, de 2010, do Sr. Sebastião Bala Rocha, que "acrescenta o inciso LXXIX ao art. 5º da Constituição Federal, para Incluir o acesso à internet em alta velocidade entre os direitos fundamentais do cidadão"
8919;PEC50610 ;Comissão Especial destinada a apreciar e proferir parecer à Proposta de Emenda à Constituição nº 506-A, de 2010, do Senado Federal, que "acrescenta artigo ao Ato das Disposições Constitucionais Transitórias (ADCT), para dispor sobre a prorrogação dos beneficios para a Zona Franca de Manaus, e dá outras providências" (prorroga até 31 de dezembro de 2029)
8908;PL602505 ;Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 6025, de 2005, ao Projeto de Lei nº 8046, de 2010, ambos do Senado Federal, e outros, que tratam do "Código de Processo Civil" (revogam a Lei nº 5.869, de 1973)
8096;PL686910 ;Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 6.869, de 2010, do Senado Federal, e apensados, que "acrescenta o art. 242-A à Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para tornar crime a venda de bebidas alcoólicas a menores de 18 (dezoito) anos, e dá outras providências"
8906;PL712310 ;Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 7123, de 2010, do Sr. Assis do Couto, que "institui a Estrada-Parque Caminho do Colono, no Parque Nacional do Iguaçu"
9123;PL766310 ;Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 7663, de 2010, do Sr. Osmar Terra, que "acrescenta e altera dispositivos à Lei nº 11.343, de 23 de agosto de 2006, para tratar do Sistema Nacional de Políticas sobre Drogas , dispor sobre a obrigatoriedade da classificação das drogas, introduzir circunstâncias qualificadoras dos crimes previstos nos arts. 33 a 37, definir as condições de atenção aos usuários ou dependentes de drogas e dá outras providências"
8905;PL767210 ;Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 7672, de 2010, do Poder Executivo, que "altera a Lei nº 8.069, de 13 de julho de 1990, que dispõe sobre o Estatuto da Criança e do Adolescente, para estabelecer o direito da criança e do adolescente de serem educados e cuidados sem o uso de castigos corporais ou de tratamento cruel ou degradante"
6940;PL803510 ;Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 8035, de 2010, do Poder Executivo, que "aprova o Plano Nacional de Educação para o decênio 2011-2020 e dá outras providências"
2017;CINDRA ;Comissão de Integração Nacional, Desenvolvimento Regional e da Amazônia
6174;CMADS ;Comissão de Meio Ambiente e Desenvolvimento Sustentável
5503;CSPCCO ;Comissão de Segurança Pública e Combate ao Crime Organizado
2014;CSSF ;Comissão de Seguridade Social e Família
2015;CTASP ;Comissão de Trabalho, de Administração e Serviço Público
